Protein,Mean_Zscore_Delta,Std_Zscore_Delta,Consistency,N_Studies,N_Tissues,Temporal_Pattern,Matrisome_Division,Matrisome_Category
ANXA4,-0.17400350633305817,0.4730437191932771,-0.7264148387148031,8,8,Stable,Matrisome-associated,ECM-affiliated Proteins
Tnfsf12,-0.17642562605996204,0.10856433186916863,0.607256630231457,2,1,Stable,Matrisome-associated,Secreted Factors
Cnp,-0.1769459643493454,0.5327382402561375,-0.9236179935235684,4,4,Stable,Non-ECM,Non-ECM
VCAN,-0.17802976312669835,0.27691884696859,0.003995673504933794,10,8,Stable,Core matrisome,Proteoglycans
S100A11,-0.17955150035647158,0.35228395445090965,-0.2601755097064151,7,7,Stable,Matrisome-associated,Secreted Factors
AEBP1,-0.1801707367762912,0.488425278841122,-0.7433129685885662,8,8,Stable,Core matrisome,ECM Glycoproteins
AGRN,-0.18206901919041227,0.3459531956057314,-0.22648420091890253,10,8,Stable,Core matrisome,ECM Glycoproteins
Fgf12,-0.1832729468419853,0.0517727394458165,0.8172337315546894,2,2,Stable,Matrisome-associated,Secreted Factors
S100A13,-0.1836507250872749,0.24323198419692527,0.14249475610511275,5,5,Stable,Matrisome-associated,Secreted Factors
Tnc,-0.1875164477187975,0.4143224174621154,-0.4410390109832576,9,8,Stable,Core matrisome,ECM Glycoproteins
AGT,-0.18924588214028773,0.9496421422976391,-2.2831656418778374,8,8,Stable,Matrisome-associated,ECM Regulators
COL1A2,-0.19006324886830506,0.2896711896935735,0.0013516333980989614,8,8,Stable,Core matrisome,Collagens
Mug1,-0.19227563506515066,0.2041056092486682,0.3016673825610836,4,4,Stable,Non-ECM,Non-ECM
Copa,-0.1923135289573492,0.10828687924905128,0.6295522836890277,4,4,Stable,Non-ECM,Non-ECM
TINAG,-0.19243567714122684,0.005395184115530753,0.9815508690038348,2,2,Stable,Core matrisome,ECM Glycoproteins
KERA,-0.19371578322474844,0.3636102514940682,-0.23796633433157122,2,2,Stable,Core matrisome,Proteoglycans
CHAD,-0.19396339654720707,0.16616794040524266,0.4347325471232333,3,3,Stable,Core matrisome,Proteoglycans
S100A1,-0.19408738246277257,0.20903068579264653,0.28922252956871775,4,4,Stable,Matrisome-associated,Secreted Factors
FSTL1,-0.194296005335588,0.0738857171180873,0.7489408086466045,4,4,Stable,Matrisome-associated,Secreted Factors
Itga6,-0.19694599133081345,0.3675124830416891,-0.23764082954822863,4,4,Stable,Non-ECM,Non-ECM
Anxa2,-0.19745574963717077,0.21526735485042942,0.27630460963350945,10,10,Stable,Matrisome-associated,ECM-affiliated Proteins
Plod1,-0.19877750739666653,0.03243656162831682,0.8914357311869096,3,3,Stable,Matrisome-associated,ECM Regulators
Pdia3,-0.19893932097564426,0.19142425298733987,0.3596551555593587,4,4,Stable,Non-ECM,Non-ECM
COL9A2,-0.20120650622796296,0.21029461689599235,0.30182578215347555,5,5,Chronic_Change,Core matrisome,Collagens
ANXA11,-0.2023888586022872,0.37645478549891065,-0.2449360311718285,8,8,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
LAMB2,-0.20265053950050493,0.2871580813775558,0.051189263196153356,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
MASP2,-0.2057166780716693,0.2842837061349318,0.07010730350704963,3,3,Chronic_Change,Matrisome-associated,ECM Regulators
Il16,-0.20685301309653076,0.2667640180408214,0.13064559689722866,4,4,Chronic_Change,Matrisome-associated,Secreted Factors
Fabp5,-0.2103981041607551,0.27179855567133515,0.12435497502081794,4,4,Chronic_Change,Non-ECM,Non-ECM
COL12A1,-0.21271594336702204,0.37469635783638955,-0.19820036612787484,10,8,Chronic_Change,Core matrisome,Collagens
FGL2,-0.2131744039929416,0.42220990626844285,-0.34816224086422687,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
Emilin2,-0.21334547619451272,0.15081603188002168,0.5186908912436287,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
IGFBP5,-0.21486714605610127,0.19489046986397826,0.38103904359315477,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
DSPP,-0.2166400898539064,0.2935091418219331,0.0730512300026368,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
Efemp1,-0.21666865866730342,0.32242421368863533,-0.01817532257708776,7,7,Chronic_Change,Core matrisome,ECM Glycoproteins
Gba,-0.2171792140123786,0.09353324162295353,0.7051091701762551,3,3,Chronic_Change,Non-ECM,Non-ECM
P3h1,-0.2177785951956807,0.05104163162134404,0.8393798940740053,2,2,Chronic_Change,Matrisome-associated,ECM Regulators
Apoa4,-0.21828257410636423,0.07558070623081226,0.762535833314096,4,4,Chronic_Change,Non-ECM,Non-ECM
ANXA2,-0.22327288469154202,0.44111356305422633,-0.3645238556742072,8,8,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
Cfl1,-0.22900196451889687,0.09806123732781885,0.7019433076297437,4,4,Chronic_Change,Non-ECM,Non-ECM
Entpd2,-0.23053914908504808,0.20141774751366065,0.39063875467944764,4,4,Chronic_Change,Non-ECM,Non-ECM
Lipe,-0.23308377747611564,0.20421233473607195,0.38690399069130477,4,4,Chronic_Change,Non-ECM,Non-ECM
Col3a1,-0.23311206576227192,0.4059578448668318,-0.218682499350074,10,10,Chronic_Change,Core matrisome,Collagens
FRAS1,-0.23411852001586553,0.49602292952971283,-0.4845717905914324,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
Matn4,-0.2386269867270674,0.13112490531424942,0.6127747921640521,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
LGALS3,-0.23868391246755374,0.5999059624766984,-0.7712856749113228,8,8,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
BMP1,-0.24181520521047228,0.3442243844951136,-0.007048192262710806,2,2,Chronic_Change,Matrisome-associated,ECM Regulators
Apoe,-0.24188406260688855,0.1270524618603173,0.6283755934934963,4,4,Chronic_Change,Non-ECM,Non-ECM
Hmcn1,-0.2428333189060464,0.017319621241632326,0.9494809276505042,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
ANXA1,-0.24313303845827233,0.3585635159412128,-0.04496937267326673,8,8,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
COL3A1,-0.24409723861614108,0.36410564840176274,-0.05814754534529154,10,8,Chronic_Change,Core matrisome,Collagens
Lamb1,-0.24690420130987328,0.24961572095223375,0.280447685528998,10,10,Chronic_Change,Core matrisome,ECM Glycoproteins
C8b,-0.2488160659903919,0.06218915406240879,0.8217136189359988,2,2,Chronic_Change,Non-ECM,Non-ECM
COL5A3,-0.24958960601223457,0.18220516265411843,0.47880268886557853,4,4,Chronic_Change,Core matrisome,Collagens
FBLN2,-0.2498762109792548,0.528698518945523,-0.5111016478250106,5,5,Chronic_Change,Core matrisome,ECM Glycoproteins
Hsd17b12,-0.2501854416605138,0.09306263824803342,0.7342475523632628,3,3,Chronic_Change,Non-ECM,Non-ECM
PPBP,-0.25023012215668183,0.23826339067266958,0.3196947503959179,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
Calr,-0.25123805039266267,0.1315588028156411,0.6254426231196579,4,4,Chronic_Change,Non-ECM,Non-ECM
MFAP1,-0.2538577131467926,0.039822360139759615,0.8874622237689083,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
ANXA7,-0.2543352587880978,0.4989956504011005,-0.4082585292464884,8,8,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
Col15a1,-0.25581050475262623,0.22468010956865858,0.3685399768484485,8,8,Chronic_Change,Core matrisome,Collagens
NID2,-0.2573734230501411,0.5240819571377744,-0.4664827413991648,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
Hsph1,-0.25796151537909934,0.1989089850159099,0.44432857592175734,4,4,Chronic_Change,Non-ECM,Non-ECM
HRNR,-0.2587873722891926,0.33337290722673335,0.07083433539008288,3,3,Chronic_Change,Matrisome-associated,Secreted Factors
TNC,-0.2598270242198434,0.3420216532582729,0.049483139850807656,7,7,Chronic_Change,Core matrisome,ECM Glycoproteins
Hdlbp,-0.2606781235691031,0.16178325235488833,0.5514470055628646,4,4,Chronic_Change,Non-ECM,Non-ECM
ECM2,-0.2609506916035267,0.11253475608019692,0.6882267891487885,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
HMCN1,-0.2636704084857344,0.8369797263731764,-1.3014787754060788,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
Cap1,-0.2651263061983812,0.07116845004899978,0.8050853941749889,4,4,Chronic_Change,Non-ECM,Non-ECM
CSPG4,-0.2667594842421436,0.33121681734960867,0.09691001438171054,5,5,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
MXRA5,-0.26811690618860373,0.5233072623775057,-0.42157899726939085,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
Lgals9,-0.2686754309316589,0.1492390139057955,0.5952021713823945,5,5,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
LOXL2,-0.2710444761232375,0.19659601051019374,0.47015513459659497,3,3,Chronic_Change,Matrisome-associated,ECM Regulators
GDF15,-0.2718203172343402,0.336677874960551,0.0945145831061206,5,3,Chronic_Change,Matrisome-associated,Secreted Factors
P4HA1,-0.27815130749453176,0.2751135107571704,0.2724776952909288,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
Vwa9,-0.2790746666675375,0.30334096052215936,0.19978572245715231,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
COL6A3,-0.28103339061754185,0.3155262862447244,0.1719195902139964,8,8,Chronic_Change,Core matrisome,Collagens
PCOLCE,-0.28687092978059164,0.46858682139261765,-0.21122262057366248,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
ITIH5,-0.2880071297414567,0.17410930157914667,0.5512729322908008,6,6,Chronic_Change,Matrisome-associated,ECM Regulators
Postn,-0.2931370628254711,0.6376130615596891,-0.6218594527241266,9,8,Chronic_Change,Core matrisome,ECM Glycoproteins
HHIP,-0.300210634212834,0.03315265865044653,0.9171619746795239,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
Phospho1,-0.3024302401690824,0.2702275278260644,0.3285108800160559,4,4,Chronic_Change,Non-ECM,Non-ECM
GPC1,-0.30287485203922204,0.14377294201624496,0.6431324981231444,5,5,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
VWA1,-0.30425662999667724,0.2318938999103431,0.4263695813418097,7,7,Chronic_Change,Core matrisome,ECM Glycoproteins
LAMA3,-0.30427703125248445,0.3077818777442119,0.23868571808129302,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
Cyb5d2,-0.3046884096985659,0.24484820125723025,0.3949710557818876,2,2,Chronic_Change,Non-ECM,Non-ECM
Cilp2,-0.31059581376725104,1.0225515277148576,-1.4904090432215114,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
Gsn,-0.31076056939475827,0.14192587705497864,0.6544802796819043,4,4,Chronic_Change,Non-ECM,Non-ECM
Dhrs7c,-0.3113219713800227,0.4133156297928977,-0.004846953364018303,4,4,Chronic_Change,Non-ECM,Non-ECM
P4HA2,-0.31378495873038237,0.5287862404263137,-0.2779252345198582,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
COL4A3,-0.3144795458809863,0.29170054198301704,0.2962245184789506,4,2,Chronic_Change,Core matrisome,Collagens
Cd34,-0.31532062772497876,0.15732754085919118,0.6211901592247138,3,3,Chronic_Change,Non-ECM,Non-ECM
FLG,-0.3194596470029014,0.46716155038185975,-0.11372227035376392,4,4,Chronic_Change,Matrisome-associated,Secreted Factors
FMOD,-0.3198289781519718,0.4055122980089846,0.03410121951564005,6,6,Chronic_Change,Core matrisome,Proteoglycans
ELANE,-0.3217808204440935,0.14876579542563498,0.6472912275408842,3,3,Chronic_Change,Matrisome-associated,ECM Regulators
C3,-0.32184217969782214,0.21753214433842677,0.4843281331083312,4,4,Chronic_Change,Non-ECM,Non-ECM
Aoc3,-0.3222148724611824,0.3653670604163595,0.13464189859879783,4,4,Chronic_Change,Non-ECM,Non-ECM
INHBE,-0.3258008060327195,0.33737236447350405,0.20767560865636414,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
LOX,-0.3298183974804678,0.3483382827943197,0.18956869962703438,4,4,Chronic_Change,Matrisome-associated,ECM Regulators
Apoa2,-0.3321928697678335,0.2438985001584041,0.4356720871183689,4,4,Chronic_Change,Non-ECM,Non-ECM
COL15A1,-0.3339225021624553,0.4008857094446027,0.0761352374057892,7,7,Chronic_Change,Core matrisome,Collagens
SERPINH1,-0.3356702643667253,0.7614474349423678,-0.7477608577422206,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
CCN3,-0.3364983272440799,0.09457665957707047,0.7833287009959482,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
Ltbp2,-0.3369861601184021,0.33762507016373566,0.22737811634067395,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
Mcam,-0.34368406557599035,0.2146357185959147,0.516241994588481,4,4,Chronic_Change,Non-ECM,Non-ECM
Fgl2,-0.34539704519844355,0.2763116688850538,0.37962841948817816,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
Col11a1,-0.3473611556005225,0.3663204927777193,0.181152658893723,3,3,Chronic_Change,Core matrisome,Collagens
Thbs3,-0.34997542249416635,0.23750289283079495,0.47218696631397894,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
CRISPLD1,-0.35310448663214344,0.3752473808126502,0.17183035727188056,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
COL5A2,-0.37021545536941874,0.34761513642688174,0.2607322186937,10,8,Chronic_Change,Core matrisome,Collagens
Pxdn,-0.3760570618204606,0.32160776114930717,0.3244344282606235,7,7,Chronic_Change,Core matrisome,ECM Glycoproteins
Cfd,-0.37757207274141363,0.3423426126019314,0.2831603183226832,3,3,Chronic_Change,Non-ECM,Non-ECM
C8a,-0.37760879342532744,0.1082116009097926,0.7734304677815546,3,3,Chronic_Change,Non-ECM,Non-ECM
COL14A1,-0.3807757585407655,0.3548943049428799,0.26182986841923306,8,8,Chronic_Change,Core matrisome,Collagens
Sparc,-0.38159562049404555,0.4367544733222217,0.09310954100002711,9,9,Chronic_Change,Core matrisome,ECM Glycoproteins
Ace,-0.38669015626434083,0.3566029267997775,0.2672896252167216,4,4,Chronic_Change,Non-ECM,Non-ECM
Mup11,-0.38859775763998017,0.018390474739549113,0.9623607058117118,2,2,Chronic_Change,Non-ECM,Non-ECM
LAMB1,-0.390870314170709,0.7730790805112097,-0.5749151215576613,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
Chad,-0.3912074917372481,0.39623936187795633,0.19333607784241857,4,4,Chronic_Change,Core matrisome,Proteoglycans
COL5A1,-0.39481216312967704,0.3199822795517659,0.35332575996538895,8,8,Chronic_Change,Core matrisome,Collagens
Apoa1,-0.3956064424602178,0.10213241591243126,0.7939243577919604,4,4,Chronic_Change,Non-ECM,Non-ECM
COL11A1,-0.3995032134135438,0.17703608908180687,0.645575675335572,5,5,Chronic_Change,Core matrisome,Collagens
SERPINB8,-0.4006495341540937,0.1396661284404754,0.7210301440178952,3,2,Chronic_Change,Matrisome-associated,ECM Regulators
Islr,-0.4137704601244797,0.17353638993265,0.6622297243586086,2,2,Chronic_Change,Non-ECM,Non-ECM
ANXA3,-0.4224324093343525,0.0911141604732598,0.8255962707417956,2,2,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
Clic1,-0.4228125934615976,0.19039599833385573,0.6358236187976581,4,4,Chronic_Change,Non-ECM,Non-ECM
HAPLN3,-0.42901151081988337,0.30986993990436124,0.41424726387501043,3,3,Chronic_Change,Core matrisome,Proteoglycans
SPP1,-0.45150912804633364,0.33835668881391623,0.3864894131262864,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
Ltbp4,-0.4602445238722049,0.34318335386818133,0.3874400565377708,6,6,Chronic_Change,Core matrisome,ECM Glycoproteins
FREM1,-0.48773827992013535,0.41252935226472975,0.298107054859884,2,2,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
MFAP5,-0.49310269876150215,0.31178448774839346,0.474316187737045,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
Fbln5,-0.4971408719424292,0.34936419403783264,0.41493839987641123,9,9,Chronic_Change,Core matrisome,ECM Glycoproteins
Dpp4,-0.5007142914609696,0.31993186012281627,0.4674142688619498,3,3,Chronic_Change,Non-ECM,Non-ECM
P3H1,-0.5164161189550107,0.7101649876738412,-0.1520869844834034,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
CD109,-0.5215845234201113,0.4741715967316599,0.23715668768158693,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
FRZB,-0.5243683442964379,0.5180510707802175,0.17027973068689561,3,3,Chronic_Change,Matrisome-associated,Secreted Factors
COL11A2,-0.5354841120873555,0.7162884479644803,-0.12715398283004964,5,5,Chronic_Change,Core matrisome,Collagens
Dpysl3,-0.5370030847863166,0.2553002312038397,0.5992166485512697,4,4,Late_Decrease,Non-ECM,Non-ECM
EMILIN2,-0.5549444325649479,0.14730093291841895,0.7750939994381709,4,4,Late_Decrease,Core matrisome,ECM Glycoproteins
COL21A1,-0.5664816898463472,0.5382320446616597,0.192427859817506,4,4,Chronic_Change,Core matrisome,Collagens
CHRDL2,-0.5723148487450705,0.5406548671081379,0.19583084009327845,3,3,Chronic_Change,Matrisome-associated,Secreted Factors
Serpinh1,-0.5734625551659357,0.4779511084128335,0.29030782075913597,10,10,Chronic_Change,Matrisome-associated,ECM Regulators
HCFC1,-0.5764668059041833,0.05692215339076627,0.9158537375463935,2,2,Late_Decrease,Matrisome-associated,Secreted Factors
Eln,-0.6035438442270636,0.5636569597758507,0.1988317936388132,6,6,Chronic_Change,Core matrisome,ECM Glycoproteins
Serpinf1,-0.610669676941451,0.6476871528842686,0.08862418940997152,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
TGM3,-0.6682555768113927,0.6532621026762889,0.14968127483353721,4,4,Chronic_Change,Matrisome-associated,ECM Regulators
SCUBE1,-0.6981558880442552,0.3605281445717298,0.5482985843089594,3,3,Late_Decrease,Matrisome-associated,Secreted Factors
SLIT3,-0.7101640506452735,0.803023728147052,0.008813427962564457,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
EMILIN3,-0.7878585169964121,0.4552671193104349,0.4872301041267426,5,5,Chronic_Change,Core matrisome,ECM Glycoproteins
CLEC3A,-0.7942434790763403,0.5832583656671869,0.3477633560497062,3,3,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
Pcolce,-0.8249345752651844,0.8354528957259116,0.09674379348789919,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
COL9A1,-0.8655147365797496,0.1731134525465237,0.8207034590069927,3,3,Late_Decrease,Core matrisome,Collagens
TNXB,-0.8810209782365742,0.553150022388375,0.4361486301927151,6,6,Chronic_Change,Core matrisome,ECM Glycoproteins
Fbn2,-0.9096908665526114,0.9932705984193125,0.01626266878035909,6,6,Chronic_Change,Core matrisome,ECM Glycoproteins
Tfrc,-0.9583067021298592,0.2013525443549512,0.809740839824858,4,4,Late_Decrease,Non-ECM,Non-ECM
Kera,-0.9703460258673459,0.1085172345880792,0.8986148105701208,4,4,Late_Decrease,Core matrisome,Proteoglycans
VIT,-0.9767647112103883,0.8483351620589166,0.21214434943237948,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
SEMA3G,-0.9979413600562048,1.4818002466358007,-0.34961692904978614,2,2,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
Epx,-0.9999403578689718,0.5083836769146611,0.5378079608792559,4,4,Late_Decrease,Non-ECM,Non-ECM
MATN3,-1.000424115967756,0.3748032662671277,0.6594010792488758,3,3,Late_Decrease,Core matrisome,ECM Glycoproteins
Col14a1,-1.1321262958691234,0.40111588024838984,0.6744523012022492,7,7,Late_Decrease,Core matrisome,Collagens
IL17B,-1.4218260127551459,0.3541038139939647,0.7673164928013764,3,3,Late_Decrease,Matrisome-associated,Secreted Factors
